timestamp,sensor_id,location,temperature,humidity,pressure,light,co2,anomaly
2024-01-01T00:00:00.000Z,sensor_01,Room-A,22,45.1,1012.94,760,787,0
2024-01-01T00:00:00.000Z,sensor_02,Room-B,22.9,43.2,1013.1,752,826,0
2024-01-01T00:00:00.000Z,sensor_03,Room-C,22.6,43.2,1013.13,759,778,0
2024-01-01T00:00:00.000Z,sensor_04,Warehouse,22.9,42,1013.29,750,846,0
2024-01-01T00:00:00.000Z,sensor_05,Loading-Dock,22.5,43.9,1013.66,754,782,0
2024-01-01T00:15:00.000Z,sensor_01,Room-A,22.7,43.8,1013.21,786,793,0
2024-01-01T00:15:00.000Z,sensor_02,Room-B,22.9,44.4,1013.24,789,759,0
2024-01-01T00:15:00.000Z,sensor_03,Room-C,22.9,44.9,1013.72,806,835,0
2024-01-01T00:15:00.000Z,sensor_04,Warehouse,21.5,47.3,1013.53,771,818,0
2024-01-01T00:15:00.000Z,sensor_05,Loading-Dock,21.6,46,1012.94,807,787,0
2024-01-01T00:30:00.000Z,sensor_01,Room-A,22.1,43.2,1013.08,817,756,0
2024-01-01T00:30:00.000Z,sensor_02,Room-B,23.3,43.5,1013.54,799,761,0
2024-01-01T00:30:00.000Z,sensor_03,Room-C,22.5,44.3,1012.92,843,782,0
2024-01-01T00:30:00.000Z,sensor_04,Warehouse,22.5,45.1,1013.21,767,793,0
2024-01-01T00:30:00.000Z,sensor_05,Loading-Dock,23.2,46.2,1013.02,823,778,0
2024-01-01T00:45:00.000Z,sensor_01,Room-A,22.8,46.3,1013.79,831,793,0
2024-01-01T00:45:00.000Z,sensor_02,Room-B,21.9,42.8,1013.2,819,806,0
2024-01-01T00:45:00.000Z,sensor_03,Room-C,22.8,43.9,1013.21,803,845,0
2024-01-01T00:45:00.000Z,sensor_04,Warehouse,22.6,46.8,1013.8,830,830,0
2024-01-01T00:45:00.000Z,sensor_05,Loading-Dock,22.6,43.3,1013.11,824,759,0
2024-01-01T01:00:00.000Z,sensor_01,Room-A,22.8,45.9,1013.79,838,821,0
2024-01-01T01:00:00.000Z,sensor_02,Room-B,22,43.7,1013.93,842,801,0
2024-01-01T01:00:00.000Z,sensor_03,Room-C,21.7,46.3,1013.54,755,833,0
2024-01-01T01:00:00.000Z,sensor_04,Warehouse,21.9,46.9,1013.56,833,801,0
2024-01-01T01:00:00.000Z,sensor_05,Loading-Dock,23.5,42.3,1013.16,760,777,0
2024-01-01T01:15:00.000Z,sensor_01,Room-A,22,44.9,1013.66,784,820,0
2024-01-01T01:15:00.000Z,sensor_02,Room-B,23.5,43,1013.61,783,750,0
2024-01-01T01:15:00.000Z,sensor_03,Room-C,21.9,46.8,1013.09,761,811,0
2024-01-01T01:15:00.000Z,sensor_04,Warehouse,23.5,45.5,1013.83,773,801,0
2024-01-01T01:15:00.000Z,sensor_05,Loading-Dock,22,43.1,1013.31,781,787,0
2024-01-01T01:30:00.000Z,sensor_01,Room-A,22.3,46.3,1013.73,829,804,0
2024-01-01T01:30:00.000Z,sensor_02,Room-B,23.7,44.9,1013.21,823,777,0
2024-01-01T01:30:00.000Z,sensor_03,Room-C,23.5,43.4,1013.36,836,799,0
2024-01-01T01:30:00.000Z,sensor_04,Warehouse,23.5,42.9,1013.82,822,752,0
2024-01-01T01:30:00.000Z,sensor_05,Loading-Dock,23,45.1,1013.18,844,763,0
2024-01-01T01:45:00.000Z,sensor_01,Room-A,23.4,46,1013.84,759,795,0
2024-01-01T01:45:00.000Z,sensor_02,Room-B,22.1,46.4,1014.02,801,791,0
2024-01-01T01:45:00.000Z,sensor_03,Room-C,22.9,45,1014.03,833,807,0
2024-01-01T01:45:00.000Z,sensor_04,Warehouse,22.6,42.4,1013.94,774,777,0
2024-01-01T01:45:00.000Z,sensor_05,Loading-Dock,23.5,45.8,1013.2,795,783,0
2024-01-01T02:00:00.000Z,sensor_01,Room-A,24,42.7,1013.62,800,832,0
2024-01-01T02:00:00.000Z,sensor_02,Room-B,22.6,44.5,1013.5,819,793,0
2024-01-01T02:00:00.000Z,sensor_03,Room-C,24.1,42.8,1013.66,829,823,0
2024-01-01T02:00:00.000Z,sensor_04,Warehouse,23,46.4,1013.9,833,834,0
2024-01-01T02:00:00.000Z,sensor_05,Loading-Dock,22.5,46.3,1013.23,777,759,0
2024-01-01T02:15:00.000Z,sensor_01,Room-A,22.7,46,1013.37,807,769,0
2024-01-01T02:15:00.000Z,sensor_02,Room-B,23.9,40.9,1013.96,810,775,0
2024-01-01T02:15:00.000Z,sensor_03,Room-C,22.8,46.4,1013.42,813,791,0
